box_size_px,f1_val_iou50,recall_val_iou50,precision_val_iou50,mae_contagem_val,ap50_val
48,0.7584335013571152,0.8511749347258486,0.6839160839160839,8.025,0.7873832693141264
64,0.7358241758241759,0.7284595300261096,0.7433392539964476,7.425,0.7563563610773895
72,0.8123980424143558,0.8668407310704961,0.7643898695318496,6.35,0.8487766801740158
96,0.8156662409535973,0.8337684943429069,0.7983333333333333,4.375,0.8721610480938178
112,0.8218119364534135,0.8328981723237598,0.8110169491525424,4.175,0.8686394798748701
128,0.8173424327579284,0.8859878154917319,0.7585692995529061,6.275,0.8746791872925118
144,0.8228176318063958,0.8285465622280244,0.8171673819742489,4.4,0.8748276885018818
160,0.6531705864840727,0.9547432550043516,0.49638009049773757,26.575,0.8412200947559448
176,0.8206521739130436,0.7885117493472585,0.8555240793201133,3.65,0.8776088190369226
192,0.8253119429590018,0.8059181897302001,0.845662100456621,4.05,0.8686184207544345
