caminho_imagem,celulas,particao
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_001_be340ee72689dfe3f8dc9c24de6127f4.png,42,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_002_9d0f43b29d78f673e9caf77928b4af3c.png,20,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_003_8b312497db839bbe14c41fb18badbc23.png,13,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_004_4fb1ebbd1adb2da024ffe2394c1712c9.png,16,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_005_5b7cc4b7d0373fab44cc5686ba477e0c.png,28,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_006_d1139b2167d9254c2e29edb485c1bda8.png,14,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_007_df075c7d02cc7729bd04b5996a3e8991.png,52,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_008_1f8274db391ed2747c0c3a8560bf6d3a.png,47,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_009_71abd3d9c8d0e5738c1db3328645fde8.png,12,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_010_fb100898ae793bb2475fd6d3ee92ef31.png,17,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_011_90d08f57cdeb58238879b4af949d4f50.png,28,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_012_1766e5c4a2a6034960b40bdd3c47c297.png,7,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_013_ac1ed15ddc7fb3d7e6a9c7521eeebe78.png,62,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_014_746c084dbe0b987385df13ddbf4dd635.png,28,test
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_015_fe7dccb72ee17d6776970bdb5e5ba3ba.png,36,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_016_42e7a4f3bd69279d8b1bc4ea8e248f08.png,45,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_017_602e28f6537d6638bc4ccbe4cde5fab1.png,25,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_018_3659bf68aeea760b319cd0710e3651fb.png,52,val
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_019_8457af003b1ad48e907156b5e6e53bea.png,36,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_020_edc748c10f4cd73535452d54b0d7a1a6.png,9,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_021_faf0a263bf469832c7569a5ccbaa48c3.png,22,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_022_d67cd01defdc182ca48cee14e776f22c.png,52,train
C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Jean\cric_cervix\images\cric_image_023_77acea6065f24cef2351ef3bc2af43a1.png,44,val
